crypto,nft
9.5973E+11,476312
4.42206E+11,147922
84930991681,69263
79498898955,66061
67560031753,38171
60305990331,36705
53838671729,33104
37700871854,28660
32242728177,27452
27944078360,26209
16452663932,24062
14705041391,20154
13939764634,16539
13893646917,15140
12555138450,11719
11922166090,11434
11399085635,11377
10379987053,10646
10269984185,10336
10082394662,9068
9542723783,8932
9128233744,8547
8930404005,8500
8811043438,8078
8553241404,7834
7076804600,7591
6990322322,7415
6507372493,7110
5521886235,6787
5472962537,6638
5235153339,6372
5146465289,6158
4991594087,6012
4940906072,5625
4781989216,5396
4686966298,5326
4576909399,4767
4513266609,4601
4493813178,4594
4429862362,4523
4170295841,4393
3986378665,4070
4001509843,3877
3894436856,3611
3443529054,3492
3415916735,3439
3385464518,3318
3207150571,3317
3065478457,3317
3034124430,3315
3005004743,3245
3006556058,3203
2871993584,3147
2713188983,3128
2617115236,2893
2544230808,2871
2455785359,2786
2422846516,2747
2422591770,2695
2413072933,2610
2388490050,2571
2311767652,2497
2208191264,2473
2192103477,2455
2116775309,2396
2050646973,2377
2017266764,2339
1955720131,2321
1898189003,2284
1793459299,2283
1731160973,2281
1718323549,2270
1676782825,2254
1609546188,2226
1585485320,2222
1473087447,2210
1461013696,2196
1447715549,1955
1450072526,1834
1443717405,1797
1405413550,1775
1402512417,1758
1381282934,1698
1360720468,1671
1327574461,1644
1312008450,1574
1273767673,1559
1269790717,1544
1257025850,1513
1207028889,1501
1208982760,1478
1125422860,1452
1124854619,1342
1108637874,1339
1100158694,1339
1076432064,1329
1062811403,1326
1039592506,1321
1036581301,1283
1030899415,1288
1014950859,
996387412.9,
985192325,
944387477,
906867695.7,
904684000.3,
874781938.5,
817705531.2,
802135438.8,
793920614.8,
790139686.9,
778491000.5,
776020464.6,
752921255.9,
751534309.7,
712524431.4,
677979767.2,
666278304,
633217657.3,
629976659.3,
629298567.4,
613520239.3,
599180380.5,
581070896.6,
565986170,
560947303.2,
540256985.7,
536260817.3,
521968728.4,
517108497.9,
516728111.3,
513510573.9,
503529090.4,
502585316.8,
489172137.2,
486059053.1,
485360580.8,
485007789.1,
484178033.7,
478404941.7,
475117082.3,
474876747.1,
466130816.3,
464645365.4,
464188629.3,
464053602.9,
461028594.5,
463146490,
456219534.8,
434660324.2,
434219439.8,
417711227.8,
415403142.5,
414800114.7,
406956338.6,
403752633.9,
394547129,
385812131.3,
384257589.6,
383198791.6,
377470517.2,
376001208.1,
376657312.7,
369660509.3,
362094896.5,
362304436.7,
358647381.6,
358085110.4,
344570951.6,
340325427.6,
330275190.1,
328946402.9,
328733599.4,
326387411.8,
320837191.4,
308211564.5,
300917785.5,
299601593.5,
297131780.4,
295000037.2,
294581026.6,
292233748.2,
288764400.6,
268950726.4,
263171800.4,
259457208.4,
256614867.7,
254906383.5,
252159912.4,
250112843.8,
249883741.5,
245691842.7,
243884971.2,
239567323,
234608802.1,
227924512.1,
226340581.6,
227494480,
223596998.3,
225435527.1,
67444571188,
4918002057,
4931803414,
4460712575,
3182024597,
2334985935,
2041910418,
1829595989,
1417586856,
1290987642,
1208427144,
1173561309,
1017710280,
953622414.2,
882509579.4,
846558009.7,
819183077.8,
801473630.7,
754438262.2,
720825552.6,
692317090.6,
517152063.7,
501303315.8,
489077313.2,
476770465.9,
452723289.7,
425999879.5,
382355651.9,
376975547.6,
372870844.4,
368562568.8,
364934284.7,
362756459.6,
360182958.7,
349408506.9,
348814112.3,
347187825.3,
330768934.3,
327744266.2,
321843406.7,
318269034,
314625850.5,
308756219.9,
302798732.2,
301130605.1,
295361013.8,
295325883.2,
291410297.7,
291595290.8,
290501778.4,
281647431,
280741697.4,
278597432.8,
275403151,
274495228.3,
272399788.4,
266544195.7,
260396355.7,
